"gene_ID","description","organism","nomenclaturesymbol"
"NP_001083009.2","TBCC domain containing 1","Danio rerio","tbccd1"
"NP_001122029.1","leucine carboxyl methyltransferase 2","Danio rerio","lcmt2"
"NP_001012262.1","crystallin, gamma S2","Danio rerio","crygs2"
"XP_014029017.1","armadillo repeat containing 8","Salmo salar",""
"XP_007260485.1","armadillo repeat containing 8","Astyanax mexicanus",""
"NP_955947.1","debranching RNA lariats 1","Danio rerio","dbr1"
"XP_005171488.2","glypican 5c","Danio rerio","gpc5c"
"XP_005171487.2","glypican 5c","Danio rerio","gpc5c"
"XP_005165435.1","phospholipase D2","Danio rerio","pld2"
"XP_009302765.1",NA,NA,NA
"XP_012671007.1","centrosomal protein 128","Clupea harengus",""
"XP_009295471.1",NA,NA,NA
"XP_007555756.1","collagen alpha-1(XVIII) chain-like","Poecilia formosa",""
"XP_005173975.1","Rap guanine nucleotide exchange factor (GEF) 6-like","Danio rerio",""
"XP_014266172.1","uncharacterized LOC106675647","Maylandia zebra",""
"NP_001161992.1","akirin 1","Salmo salar",""
"NP_571439.2","MDM2 oncogene, E3 ubiquitin protein ligase","Danio rerio","mdm2"
"NP_001038780.1","diacylglycerol kinase, alpha a","Danio rerio","dgkaa"
"XP_005162385.1","diacylglycerol kinase, alpha a","Danio rerio","dgkaa"
"XP_007235794.1","diacylglycerol kinase beta-like","Astyanax mexicanus",""
"XP_007235792.1","ring finger protein 41","Astyanax mexicanus",""
"XP_690258.3","solute carrier family 39 (zinc transporter), member 5","Danio rerio","slc39a5"
"NP_001018164.1","ankyrin repeat domain 52a","Danio rerio","ankrd52a"
"XP_009295296.1","si:ch211-66i15.5","Danio rerio","si:ch211-66i15.5"
"NP_001035013.1","GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein","Danio rerio","grasp"
"NP_001038633.1","tripartite motif containing 108","Danio rerio","trim108"
"XP_010742940.1","solute carrier family 25 member 21","Larimichthys crocea",""
"XP_013875229.1","solute carrier family 25 member 21","Austrofundulus limnaeus",""
"XP_690846.6","GTPase IMAP family member 4","Danio rerio",""
"XP_013122763.1",NA,NA,NA
"XP_010736130.1",NA,NA,NA
"XP_009291050.1",NA,NA,NA
"XP_005173403.1",NA,NA,NA
"NP_001002322.1","solute carrier family 30 (zinc transporter), member 5","Danio rerio","slc30a5"
"NP_001002459.1","complexin 2, like","Danio rerio","cplx2l"
"XP_007241817.1","copper chaperone for superoxide dismutase","Astyanax mexicanus",""
"NP_997973.1","RNA binding motif protein 14b","Danio rerio","rbm14b"
"XP_007238545.1","RNA-binding protein 4B-like","Astyanax mexicanus",""
"NP_001135513.1","actinin, alpha 3 (gene/pseudogene)","Xenopus tropicalis","actn3"
"XP_012684873.1","RB transcriptional corepressor like 1","Clupea harengus",""
"XP_683977.2","DENN/MADD domain containing 1A","Danio rerio","dennd1a"
"XP_012771048.1","uncharacterized LOC101485534","Maylandia zebra",""
"XP_013879111.1","uncharacterized LOC106528481","Austrofundulus limnaeus",""
"XP_010766591.1","uncharacterized LOC104942974","Notothenia coriiceps",""
"XP_006263049.1",NA,NA,NA
"XP_005158632.1","solute carrier family 5 (sodium/multivitamin and iodide cotransporter), member 6","Danio rerio","slc5a6b"
"XP_005158643.2",NA,NA,NA
"NP_001082980.1","zgc:163073","Danio rerio","zgc:163073"
"XP_006092244.1","myosin light chain 4","Myotis lucifugus",""
"XP_009291479.1","si:dkey-37g12.1","Danio rerio","si:dkey-37g12.1"
"XP_006034128.1","spermine oxidase","Alligator sinensis",""
"XP_007239246.1","spermine oxidase","Astyanax mexicanus",""
"NP_956568.1","ankyrin repeat domain 22","Danio rerio","ankrd22"
"NP_998569.1","lipase, gastric","Danio rerio","lipf"
"NP_001002607.1","renalase, FAD-dependent amine oxidase","Danio rerio","rnls"
"XP_012675467.1","putative lysosomal acid lipase/cholesteryl ester hydrolase","Clupea harengus",""
"XP_005169511.1","renalase, FAD-dependent amine oxidase","Danio rerio","rnls"
"XP_009304952.1","STAM binding protein-like 1","Danio rerio","stambpl1"
"XP_009292757.1",NA,NA,NA
"XP_007252386.1","kelch-like protein 24","Astyanax mexicanus",""
"XP_009300285.1","ankyrin 1, erythrocytic a","Danio rerio","ank1a"
"XP_009300290.1","ankyrin 1, erythrocytic a","Danio rerio","ank1a"
"XP_009300292.1","ankyrin 1, erythrocytic a","Danio rerio","ank1a"
"XP_009300283.1","ankyrin 1, erythrocytic a","Danio rerio","ank1a"
"XP_009300284.1","ankyrin 1, erythrocytic a","Danio rerio","ank1a"
"XP_009300288.1","ankyrin 1, erythrocytic a","Danio rerio","ank1a"
"XP_007240015.1","epidermal growth factor receptor substrate 15-like 1","Astyanax mexicanus",""
"XP_009299911.1","CD36 antigen-like","Danio rerio",""
"XP_007553455.1","complement C1q-like protein 2","Poecilia formosa",""
"XP_007553526.1",NA,NA,NA
"NP_001122001.1","methylphosphate capping enzyme","Danio rerio","mepce"
"XP_005484436.2","dystrophin","Zonotrichia albicollis",""
"XP_008400405.1","guanine nucleotide-binding protein G(olf) subunit alpha-like","Poecilia reticulata",""
"XP_001337196.1","cyclin-dependent kinase inhibitor 1Cb","Danio rerio","cdkn1cb"
"XP_009290464.1","neurobeachin-like 2","Danio rerio","nbeal2"
"XP_010862026.1","cullin-associated NEDD8-dissociated protein 1","Esox lucius",""
"XP_005797170.1","cullin-associated NEDD8-dissociated protein 1-like","Xiphophorus maculatus",""
"XP_007245891.1","transcription factor binding to IGHM enhancer 3","Astyanax mexicanus",""
"XP_009302034.1","methyl-CpG binding domain protein 1a","Danio rerio","mbd1a"
"XP_009302035.1","methyl-CpG binding domain protein 1a","Danio rerio","mbd1a"
"XP_012681636.1","CXXC-type zinc finger protein 1-like","Clupea harengus",""
"XP_007245889.1","CXXC finger protein 1","Astyanax mexicanus",""
"YP_001974494.1","cytochrome c oxidase subunit III","Capros aper",""
"XP_009291047.1","bradykinin receptor B2","Danio rerio","bdkrb2"
"NP_001116774.1","zgc:113363","Danio rerio","zgc:113363"
"XP_001921819.3","si:ch211-169p10.1","Danio rerio","si:ch211-169p10.1"
"XP_007238765.1","G protein-coupled receptor 6","Astyanax mexicanus",""
"NP_898896.2","bradykinin receptor B1","Danio rerio","bdkrb1"
"NP_570983.2","SRY (sex determining region Y)-box 19a","Danio rerio","sox19a"
"XP_010877807.1","nuclear export mediator factor","Esox lucius",""
"XP_001333295.3",NA,NA,NA
"XP_009300594.1","MICAL-like 1a","Danio rerio","micall1a"
"XP_014034902.1","MICAL-like protein 1","Salmo salar",""
"XP_005455764.1","uncharacterized LOC102083325","Oreochromis niloticus",""
"XP_014031951.1","uncharacterized LOC106587829","Salmo salar",""
"XP_007245949.1","PHD finger protein 21B","Astyanax mexicanus",""
"XP_001344560.5","eph receptor A6","Danio rerio","epha6"
"XP_007244385.1",NA,NA,NA
"NP_851299.1","thymopoietin a","Danio rerio","tmpoa"
"XP_005164780.1",NA,NA,NA
"XP_005164778.1","thymopoietin a","Danio rerio","tmpoa"
"NP_001289563.1","si:dkey-13i19.8","Danio rerio","si:dkey-13i19.8"
"XP_005164830.1","golgi transport 1Ba","Danio rerio","golt1ba"
"XP_003198317.1",NA,NA,NA
"XP_014063046.1","vesicle transport protein GOT1B-like","Salmo salar",""
"XP_689471.3","ethanolamine kinase 1","Danio rerio","etnk1"
"NP_956598.1","serine/threonine kinase receptor associated protein","Danio rerio","strap"
"XP_007228232.1","solute carrier family 25 member 3","Astyanax mexicanus",""
"XP_005164785.1","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3a","Danio rerio","slc25a3a"
"NP_001136057.1","kisspeptin 2","Danio rerio","kiss2"
"XP_006782619.1","L-lactate dehydrogenase C chain-like","Neolamprologus brichardi",""
"NP_571322.1","lactate dehydrogenase Ba","Danio rerio","ldhba"
"XP_005164831.1","spexin hormone","Danio rerio","spx"
"NP_001018199.1","glycogen synthase 2","Danio rerio","gys2"
"XP_008429670.1","glyceraldehyde-3-phosphate dehydrogenase","Poecilia reticulata",""
"XP_684950.4",NA,NA,NA
"XP_009299757.1","adenylate kinase 8","Danio rerio","ak8"
"XP_684600.2","peptidase inhibitor 15b","Danio rerio","pi15b"
"XP_009296842.1","cysteine-rich secretory protein LCCL domain containing 1b","Danio rerio","crispld1b"
"NP_001278635.1","family with sequence similarity 173, member B","Danio rerio","fam173b"
"NP_955919.1","suppressor of cytokine signaling 6b","Danio rerio","socs6b"
"NP_001018480.1","adenylate kinase 8","Danio rerio","ak8"
"XP_009297336.1",NA,NA,NA
"XP_001338198.4","SERPINE1 mRNA binding protein 1b","Danio rerio","serbp1b"
"XP_009294996.1","si:ch1073-82l19.1","Danio rerio","si:ch1073-82l19.1"
"XP_695816.5","si:ch1073-82l19.1","Danio rerio","si:ch1073-82l19.1"
"YP_003331382.1","cytochrome c oxidase subunit I","Conocara murrayi",""
"YP_003359208.1","cytochrome c oxidase subunit II","Acheilognathus signifer",""
"NP_956346.1","tuberous sclerosis 1a","Danio rerio","tsc1a"
"XP_005171852.1","tuberous sclerosis 1a","Danio rerio","tsc1a"
"NP_001038895.1","zgc:153740","Danio rerio","zgc:153740"
"XP_012811317.1","uncharacterized LOC105946303","Xenopus tropicalis",""
"XP_014030285.1","cilia and flagella associated protein 77","Salmo salar",""
"XP_699627.3","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1","Danio rerio","prex1"
"XP_695258.2","zinc finger protein 839","Danio rerio","znf839"
"NP_001007303.1","annexin A3b","Danio rerio","anxa3b"
"XP_005155674.1","progestin and adipoQ receptor family member IIIb","Danio rerio","paqr3b"
"NP_001116182.1","interferon regulatory factor 4a","Danio rerio","irf4a"
"NP_001017742.2","dual specificity phosphatase 22b","Danio rerio","dusp22b"
"NP_001096038.1","anthrax toxin receptor 2b","Danio rerio","antxr2b"
"XP_010877331.1","apoptosis resistant E3 ubiquitin protein ligase 1","Esox lucius",""
"XP_005171909.1",NA,NA,NA
"XP_003200726.1","phospholipid phosphatase 3","Danio rerio","plpp3"
"XP_001919561.1","phospholipid phosphatase 3","Danio rerio","plpp3"
"XP_700831.4","protein kinase, AMP-activated, alpha 2 catalytic subunit","Danio rerio","prkaa2"
"XP_007260721.1","protein kinase AMP-activated catalytic subunit alpha 2","Astyanax mexicanus",""
"NP_001007387.2","diphthamide biosynthesis 5","Danio rerio","dph5"
"NP_001093556.1","solute carrier family 30 (zinc transporter), member 7","Danio rerio","slc30a7"
"XP_683832.1","DEAD (Asp-Glu-Ala-Asp) box polypeptide 31","Danio rerio","ddx31"
"NP_997934.1","methyl-CpG binding domain protein 3a","Danio rerio","mbd3a"
"XP_012677268.1","methyl-CpG binding domain protein 3","Clupea harengus",""
"XP_012716891.1","actin binding LIM protein family member 2","Fundulus heteroclitus",""
"XP_013868010.1","transient receptor potential cation channel subfamily M member 3","Austrofundulus limnaeus",""
"XP_007231915.1","zinc finger protein 609","Astyanax mexicanus",""
"XP_007244570.1","pyruvate carboxylase, mitochondrial-like","Astyanax mexicanus",""
"XP_009300369.1","ST3 beta-galactoside alpha-2,3-sialyltransferase 3a","Danio rerio","st3gal3a"
"XP_007244221.1","CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase","Astyanax mexicanus",""
"XP_014133183.1","tropomyosin 4","Falco cherrug",""
"XP_012678700.1","folliculin interacting protein 1","Clupea harengus",""
"XP_007236331.1",NA,NA,NA
"XP_002666130.3",NA,NA,NA
"XP_005173976.1","si:dkey-223p19.2","Danio rerio","si:dkey-223p19.2"
"NP_001295487.1","solute carrier family 22 (organic cation transporter), member 21","Danio rerio","slc22a21"
"XP_012676613.1","solute carrier family 22 member 5-like","Clupea harengus",""
"NP_001120937.1",NA,NA,NA
"NP_991105.1","NAD(P)H dehydrogenase, quinone 1","Danio rerio","nqo1"
"XP_009290773.1","dopey family member 1","Danio rerio","dopey1"
"XP_007236774.1","component of oligomeric golgi complex 6","Astyanax mexicanus",""
"XP_005157939.1","adenylate cyclase 2a","Danio rerio","adcy2a"
"XP_007572147.1",NA,NA,NA
"XP_010755329.1",NA,NA,NA
"XP_009304315.1",NA,NA,NA
"XP_006824720.1","RNA-directed DNA polymerase from mobile element jockey-like","Saccoglossus kowalevskii",""
"XP_003200444.1","zmp:0000001267","Danio rerio","zmp:0000001267"
"NP_001018561.1","collapsin response mediator protein 1","Danio rerio","crmp1"
"XP_695252.5","Wolfram syndrome 1a (wolframin)","Danio rerio","wfs1a"
"XP_005159900.1","collapsin response mediator protein 1","Danio rerio","crmp1"
"XP_009305135.1","phosphodiesterase 5A, cGMP-specific, a","Danio rerio","pde5aa"
"XP_007229352.1",NA,NA,NA
"XP_005166247.1",NA,NA,NA
"NP_001077345.1","si:dkey-10p5.7","Danio rerio","si:dkey-10p5.7"
"XP_003199320.1","uncharacterized LOC100535760","Danio rerio",""
"XP_005155578.1",NA,NA,NA
"XP_007250310.1","uncharacterized LOC103034687","Astyanax mexicanus",""
"XP_005163380.1","vav 3 guanine nucleotide exchange factor b","Danio rerio","vav3b"
"XP_005170299.1","arylsulfatase B","Danio rerio","arsb"
"XP_010744522.1",NA,NA,NA
"XP_009302845.1",NA,NA,NA
"XP_013878206.1","uncharacterized LOC106527765","Austrofundulus limnaeus",""
"XP_013883764.1","zinc finger BED domain-containing protein 4-like","Austrofundulus limnaeus",""
"XP_007252489.1",NA,NA,NA
"XP_009298505.1",NA,NA,NA
"XP_009298506.1",NA,NA,NA
"NP_571135.1","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Aa","Danio rerio","sema3aa"
"XP_009298502.1",NA,NA,NA
"XP_005805975.1",NA,NA,NA
"XP_009298503.1",NA,NA,NA
"XP_007259301.1","FERM domain-containing protein 6-like","Astyanax mexicanus",""
"XP_001923961.1","nuclear RNA export factor 1","Danio rerio","nxf1"
"XP_009511954.1","P2X purinoceptor 5-like","Phalacrocorax carbo",""
"XP_010767363.1","uncharacterized LOC104943607","Notothenia coriiceps",""
"XP_013121306.1","uncharacterized LOC100708214","Oreochromis niloticus",""
"XP_011618023.1","meprin A subunit beta-like","Takifugu rubripes",""
"XP_014264354.1","uncharacterized LOC106675067","Maylandia zebra",""
"XP_014266871.1","uncharacterized LOC106675890","Maylandia zebra",""
"NP_957107.1","carbonic anhydrase VII","Danio rerio","ca7"
"NP_001002128.1","farnesyltransferase, CAAX box, beta","Danio rerio","fntb"
"XP_007231583.1","protein farnesyltransferase subunit beta","Astyanax mexicanus",""
"XP_009292981.1","serine/arginine-rich splicing factor 5b","Danio rerio","srsf5b"
"XP_005160725.1","serine/arginine-rich splicing factor 5b","Danio rerio","srsf5b"
"XP_690745.4","solute carrier family 10 (sodium/bile acid cotransporter), member 1","Danio rerio","slc10a1"
"XP_009293047.1","solute carrier family 10 (sodium/bile acid cotransporter), member 1","Danio rerio","slc10a1"
"XP_014061393.1","ras-related protein Rab-15-like","Salmo salar",""
"XP_007122143.1","RAB15, member RAS oncogene family","Physeter catodon",""
"XP_005160677.1","myc associated factor X","Danio rerio","max"
"NP_571295.1","myc associated factor X","Danio rerio","max"
"XP_682806.3","glycerophosphodiester phosphodiesterase domain containing 5a","Danio rerio","gdpd5a"
"XP_012680554.1","coiled-coil domain containing 138","Clupea harengus",""
"XP_007238392.1","E3 SUMO-protein ligase RanBP2","Astyanax mexicanus",""
"NP_001017831.1","GM2 ganglioside activator","Danio rerio","gm2a"
"XP_009289340.1","ganglioside GM2 activator-like","Danio rerio",""
"XP_005173176.1","GM2 ganglioside activator","Danio rerio","gm2a"
"XP_007236330.1","IK cytokine, down-regulator of HLA II","Astyanax mexicanus",""
"NP_001076538.1",NA,NA,NA
"XP_693292.3",NA,NA,NA
"NP_001092242.1","zgc:165502","Danio rerio","zgc:165502"
"NP_997833.1",NA,NA,NA
"XP_693814.5","family with sequence similarity 83, member Ha","Danio rerio","fam83ha"
"XP_002664262.1",NA,NA,NA
"XP_003199799.2","androgen-dependent TFPI-regulating protein-like","Danio rerio",""
"NP_001030146.2","leucine rich repeat (in FLII) interacting protein 2","Danio rerio","lrrfip2"
"XP_008428301.1","leucine-rich repeat flightless-interacting protein 2","Poecilia reticulata",""
"XP_014265476.1","LRR binding FLII interacting protein 2","Maylandia zebra",""
"NP_956953.1","mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)","Danio rerio","mlh1"
"XP_005169577.1","leucine rich repeat (in FLII) interacting protein 2","Danio rerio","lrrfip2"
"XP_005169574.1","leucine rich repeat (in FLII) interacting protein 2","Danio rerio","lrrfip2"
"XP_005473916.1",NA,NA,NA
"XP_005169579.1",NA,NA,NA
"XP_005169589.1","BTAF1 RNA polymerase II, B-TFIID transcription factor-associated","Danio rerio","btaf1"
"XP_014196263.1","calpain-1 catalytic subunit-like","Haplochromis burtoni",""
"XP_012685327.1","mitochondrial ribosomal protein L14","Clupea harengus",""
"XP_009305823.1","calpain 1, (mu/I) large subunit a","Danio rerio","capn1a"
"NP_001013519.1","calpain 2, (m/II) large subunit a","Danio rerio","capn2a"
"XP_012696625.1","aurora kinase A","Clupea harengus",""
"NP_001071237.1","WD repeat, sterile alpha motif and U-box domain containing 1","Danio rerio","wdsub1"
"XP_001920231.2","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1a","Danio rerio","tanc1a"
"XP_005165903.1","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1a","Danio rerio","tanc1a"
"XP_007248885.1",NA,NA,NA
"NP_001093452.2","sp2 transcription factor","Danio rerio","sp2"
"XP_684581.6",NA,NA,NA
"XP_005155817.1","ATP-binding cassette, sub-family C (CFTR/MRP), member 10","Danio rerio","abcc10"
"XP_009306001.1","moesin b","Danio rerio","msnb"
"XP_001923018.1","nucleoporin 188","Danio rerio","nup188"
"NP_001103954.1","dolichol kinase","Danio rerio","dolk"
"XP_007256629.1","dolichol kinase","Astyanax mexicanus",""
"NP_001025120.1","leucine rich repeat containing 8 family, member Aa","Danio rerio","lrrc8aa"
"NP_001007446.1","phytanoyl-CoA dioxygenase domain containing 1","Danio rerio","phyhd1"
"XP_009293395.1","Rap guanine nucleotide exchange factor (GEF) 1b","Danio rerio","rapgef1b"
"NP_957420.1",NA,NA,NA
"NP_001074117.1","DNL-type zinc finger","Danio rerio","dnlz"
"XP_013130674.1","DNL-type zinc finger","Oreochromis niloticus",""
"NP_001004666.1","uridine-cytidine kinase 1","Danio rerio","uck1"
"XP_005172816.1","TIMP metallopeptidase inhibitor 4, tandem duplicate 1","Danio rerio","timp4.1"
"NP_001032665.1",NA,NA,NA
"XP_014000932.1","synapsin-2","Salmo salar",""
"XP_006625748.1","transforming growth factor beta 2","Lepisosteus oculatus",""
"NP_001107948.1","MAP/microtubule affinity-regulating kinase 1","Danio rerio","mark1"
"NP_001002629.1","troponin I, skeletal, slow d","Danio rerio","tnni1d"
"XP_006127597.1","uncharacterized LOC102463166","Pelodiscus sinensis",""
"XP_003200453.3",NA,NA,NA
"XP_005162544.2",NA,NA,NA
"XP_006637127.1","unkempt family like zinc finger","Lepisosteus oculatus",""
"XP_010000879.1","unkempt family like zinc finger","Chaetura pelagica",""
"NP_001002148.1","ribonuclease P/MRP 40 subunit","Danio rerio","rpp40"
"XP_014232956.1","histone H3.3-like","Trichogramma pretiosum",""
"XP_005162585.1","angiotensin II receptor, type 1b","Danio rerio","agtr1b"
"XP_014059729.1","G-protein coupled estrogen receptor 1","Salmo salar",""
"XP_694153.4","matrix metallopeptidase 11b","Danio rerio","mmp11b"
"XP_013998353.1","stromelysin-3-like","Salmo salar",""
"XP_006640467.1",NA,NA,NA
"XP_012992137.1",NA,NA,NA
"NP_957078.1","coiled-coil-helix-coiled-coil-helix domain containing 10","Danio rerio","chchd10"
"NP_001002147.1","D-dopachrome tautomerase","Danio rerio","ddt"
"XP_005161203.1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1b","Danio rerio","smarcb1b"
"XP_007252845.1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","Astyanax mexicanus",""
"XP_009293564.1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1b","Danio rerio","smarcb1b"
"XP_010774494.1","stromelysin-3-like","Notothenia coriiceps",""
"XP_010795382.1","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma","Notothenia coriiceps",""
"XP_013984313.1","ephrin-A5-like","Salmo salar",""
"NP_001186950.2","urate (5-hydroxyiso-) hydrolase b","Danio rerio","urahb"
"XP_005162649.1","si:ch211-285f17.1","Danio rerio","si:ch211-285f17.1"
"XP_014013127.1","sickle tail protein-like","Salmo salar",""
"XP_005162646.1","si:ch211-285f17.1","Danio rerio","si:ch211-285f17.1"
"XP_007255937.1",NA,NA,NA
"NP_997790.1","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3","Danio rerio","st6galnac3"
"NP_001138451.1","gonadotropin releasing hormone receptor 2","Danio rerio","gnrhr2"
"XP_009292418.1","protein tyrosine phosphatase, receptor type, U, a","Danio rerio","ptprua"
"XP_012729155.1","stathmin-like","Fundulus heteroclitus",""
"XP_010749984.1",NA,NA,NA
"NP_001005596.1","RNA binding protein, fox-1 homolog (C. elegans) 1","Danio rerio","rbfox1"
"XP_005163699.1","si:ch211-178n15.1","Danio rerio","si:ch211-178n15.1"
"XP_006631012.1","filamin B","Lepisosteus oculatus",""
"XP_006631013.1",NA,NA,NA
"NP_001003537.1","sideroflexin 1","Danio rerio","sfxn1"
"XP_007247143.1","Rho GTPase activating protein 26","Astyanax mexicanus",""
"XP_005164293.1","tyrosine kinase 2","Danio rerio","tyk2"
"NP_001070088.1","zgc:152830","Danio rerio","zgc:152830"
"NP_001116727.1","ring finger protein 10","Danio rerio","rnf10"
"XP_005164229.1","cyclin-dependent kinase 21","Danio rerio","cdk21"
"NP_001015061.1","retinol saturase (all-trans-retinol 13,14-reductase)","Danio rerio","retsat"
"XP_005164228.1","si:dkeyp-57f11.2","Danio rerio","si:dkeyp-57f11.2"
"XP_005164230.1","C-type lectin domain family 4 member C-like","Danio rerio",""
"XP_009297954.1",NA,NA,NA
"NP_001104619.1","unc-5 netrin receptor B","Danio rerio","unc5b"
"XP_687465.5","myoferlin like","Danio rerio","myofl"
"XP_687541.4","poly (ADP-ribose) glycohydrolase a","Danio rerio","parga"
"XP_009305587.1","unc-5 netrin receptor B","Danio rerio","unc5b"
"XP_010728955.1",NA,NA,NA
"XP_001335525.5","uncharacterized LOC795364","Danio rerio",""
"NP_998668.1","splicing factor 3b, subunit 3","Danio rerio","sf3b3"
"XP_005159046.1",NA,NA,NA
"NP_001071201.1","zinc finger protein 362a","Danio rerio","znf362a"
"XP_009304552.1",NA,NA,NA
"XP_009304550.1",NA,NA,NA
"XP_001336892.2","si:dkey-264d12.5","Danio rerio","si:dkey-264d12.5"
"XP_009304551.1","si:dkey-264d12.5","Danio rerio","si:dkey-264d12.5"
"XP_009304549.1","si:dkey-264d12.4","Danio rerio","si:dkey-264d12.4"
"XP_010880328.1","protein FAM83E","Esox lucius",""
"XP_007252203.1",NA,NA,NA
"XP_002667371.2","collagen alpha-1(XXI) chain-like","Danio rerio",""
"NP_001038360.1",NA,NA,NA
"XP_007248920.1","xin actin-binding repeat-containing protein 2","Astyanax mexicanus",""
"XP_005165842.1","xin actin binding repeat containing 2a","Danio rerio","xirp2a"
"XP_009300472.1","LIM domain and actin-binding protein 1-like","Danio rerio",""
"XP_013124405.1",NA,NA,NA
"XP_002936129.2","acyl-CoA dehydrogenase, C-4 to C-12 straight chain","Xenopus tropicalis","acadm"
"XP_005165841.1",NA,NA,NA
"XP_009300468.1","ATPase, Cu++ transporting, beta polypeptide (Wilson disease)","Danio rerio","atp7b"
"XP_002664588.2","serine/threonine-protein kinase Nek3-like","Danio rerio",""
"XP_011486652.1","putative nuclease HARBI1","Oryzias latipes",""
"XP_008402065.1","uncharacterized LOC103461572","Poecilia reticulata",""
"XP_005164187.1","zgc:100868","Danio rerio","zgc:100868"
"NP_001003526.1","zgc:100868","Danio rerio","zgc:100868"
"XP_014263282.1","uncharacterized LOC105941023","Maylandia zebra",""
"XP_012688362.1","pyruvate dehydrogenase kinase 4","Clupea harengus",""
"XP_009292642.1","protein phosphatase 1, regulatory subunit 9A","Danio rerio","ppp1r9a"
"XP_007259879.1","ankyrin repeat and SOCS box containing 4","Astyanax mexicanus",""
"XP_010889795.1","ankyrin repeat and SOCS box containing 4","Esox lucius",""
"NP_001268730.1","v-akt murine thymoma viral oncogene homolog 1","Danio rerio","akt1"
"XP_007251664.1","AKT serine/threonine kinase 2","Astyanax mexicanus",""
"NP_001124115.1","single stranded DNA binding protein 3a","Danio rerio","ssbp3a"
"XP_009296066.1","single stranded DNA binding protein 3a","Danio rerio","ssbp3a"
"XP_005172113.1","interleukin-2 receptor subunit beta-like","Danio rerio",""
"XP_007255988.1","flavin adenine dinucleotide synthetase 1","Astyanax mexicanus",""
"XP_005169803.1","flavin adenine dinucleotide synthetase 1","Danio rerio","flad1"
"XP_009298696.1","neuron navigator 3","Danio rerio","nav3"
"XP_011660949.1","uncharacterized LOC105436749","Strongylocentrotus purpuratus",""
"XP_005166225.1",NA,NA,NA
"XP_012697759.1","T-box 15","Clupea harengus",""
"XP_003202731.1","T-box 15","Meleagris gallopavo",""
"NP_996939.1","phospholipase A1 member A","Danio rerio","pla1a"
"NP_001107922.1","popeye domain containing 2","Danio rerio","popdc2"
"XP_007255661.1","cytochrome c oxidase copper chaperone","Astyanax mexicanus",""
"XP_001923413.3","si:rp71-68n21.9","Danio rerio","si:rp71-68n21.9"
"XP_005167601.1","hydroxyacid oxidase 2 (long chain)","Danio rerio","hao2"
"YP_009122677.1","cytochrome b","Cyprinus carpio 'Furong' x Carassius auratus red var.",""
"XP_005167584.1",NA,NA,NA
"XP_007255668.1","tryptophanyl tRNA synthetase 2, mitochondrial","Astyanax mexicanus",""
"XP_694204.3","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1","Danio rerio","hsd3b1"
"XP_012688404.1","H-2 class II histocompatibility antigen, I-E alpha chain-like","Clupea harengus",""
"NP_001001893.1","zgc:113912","Danio rerio","zgc:113912"
"XP_009298822.1",NA,NA,NA
"XP_005449075.1","thioredoxin related transmembrane protein 3","Oreochromis niloticus",""
"XP_013132950.1","DnaJ heat shock protein family (Hsp40) member C13","Oreochromis niloticus",""
"XP_013132952.1","DnaJ heat shock protein family (Hsp40) member C13","Oreochromis niloticus",""
"XP_008292844.1","DnaJ heat shock protein family (Hsp40) member C13","Stegastes partitus",""
"XP_013771644.1","uncharacterized LOC102201812","Pundamilia nyererei",""
"XP_011616398.1","uncharacterized LOC105418502","Takifugu rubripes",""
"NP_998238.2","mediator complex subunit 15","Danio rerio","med15"
"NP_998520.1","sphingomyelin phosphodiesterase 4","Danio rerio","smpd4"
"XP_007237512.1","sphingomyelin phosphodiesterase 4","Astyanax mexicanus",""
"XP_006640462.1",NA,NA,NA
"XP_003444406.1","phosphoglycerate mutase 2","Oreochromis niloticus",""
"NP_998703.1","v-crk avian sarcoma virus CT10 oncogene homolog-like","Danio rerio","crkl"
"XP_009293645.1",NA,NA,NA
"XP_008293196.1","cysteine rich transmembrane BMP regulator 1","Stegastes partitus",""
"NP_571023.1","growth differentiation factor 3","Danio rerio","gdf3"
"NP_001003485.1","zgc:92480","Danio rerio","zgc:92480"
"XP_013119805.1","uncharacterized protein K02A2.6-like","Oreochromis niloticus",""
"XP_013885925.1","phosphoribosyl pyrophosphate synthase-associated protein 1","Austrofundulus limnaeus",""
"NP_001007782.1","zgc:153845","Danio rerio","zgc:153845"
